"id","temperature","humidity","light","co2","ec","ph","update_time"
545178,"25.57","81.20",0,"933","0.00","6.30","00:00"
545182,"25.55","81.37",0,"935","0.00","6.30","00:01"
545186,"25.50","81.67",0,"934","0.00","6.33","00:02"
545190,"25.46","81.89",0,"937","0.00","6.30","00:03"
545194,"25.43","82.14",0,"941","0.00","6.30","00:04"
545198,"25.41","82.25",0,"942","0.00","6.30","00:05"
545202,"25.40","82.36",0,"943","0.00","6.33","00:06"
545206,"25.38","82.53",0,"951","0.00","6.33","00:07"
545210,"25.38","82.59",0,"960","0.00","6.33","00:08"
545214,"25.40","82.65",0,"959","0.00","6.33","00:09"
545218,"25.37","82.75",0,"973","0.00","6.33","00:10"
545222,"25.37","82.95",0,"976","0.00","6.33","00:11"
545226,"25.37","83.12",0,"986","0.00","6.33","00:12"
545230,"25.38","83.18",0,"989","0.00","6.33","00:13"
545234,"25.37","83.15",0,"989","0.00","6.33","00:14"
545238,"25.38","83.38",0,"990","0.00","6.33","00:15"
545242,"25.33","83.54",0,"989","0.00","6.33","00:16"
545246,"25.28","83.70",0,"987","0.00","6.33","00:17"
545250,"25.24","84.03",0,"989","0.00","6.33","00:18"
545254,"25.20","84.13",0,"991","0.00","6.33","00:19"
545258,"25.21","84.30",0,"999","0.00","6.33","00:20"
545262,"25.18","84.44",0,"1014","0.00","6.33","00:21"
545266,"25.13","84.63",0,"989","0.00","6.37","00:22"
545270,"25.10","84.84",0,"1011","0.00","6.37","00:23"
545274,"25.06","85.00",0,"1000","0.00","6.37","00:24"
545278,"25.05","85.23",0,"1011","0.00","6.37","00:25"
545282,"25.02","85.25",0,"1023","0.00","6.37","00:26"
545286,"25.02","85.33",0,"1030","0.00","6.37","00:27"
545290,"25.00","85.41",0,"1035","0.00","6.37","00:28"
545294,"24.98","85.46",0,"1034","0.00","6.37","00:29"
545298,"25.00","85.61",0,"1034","0.00","6.37","00:30"
545302,"25.01","85.67",0,"1034","0.00","6.37","00:31"
545306,"25.00","85.75",0,"1036","0.00","6.37","00:32"
545310,"24.98","85.80",0,"1038","0.00","6.37","00:33"
545314,"24.98","85.88",0,"1037","0.00","6.37","00:34"
545318,"24.98","85.94",0,"1039","0.00","6.37","00:35"
545322,"24.95","85.96",0,"1039","0.00","6.37","00:36"
545326,"24.94","86.16",0,"1044","0.00","6.37","00:37"
545330,"24.92","86.26",0,"1043","0.00","6.37","00:38"
545334,"24.88","86.42",0,"1042","0.00","6.41","00:39"
545338,"24.85","86.58",0,"1043","0.00","6.37","00:40"
545342,"24.82","86.80",0,"1046","0.00","6.37","00:41"
545346,"24.77","86.87",0,"1046","0.00","6.37","00:42"
545350,"24.77","86.93",0,"1049","0.00","6.37","00:43"
545354,"24.76","87.15",0,"1049","0.00","6.37","00:44"
545358,"24.76","87.31",0,"1054","0.00","6.37","00:45"
545362,"24.76","87.34",0,"1057","0.00","6.37","00:46"
545366,"24.76","87.26",0,"1057","0.00","6.37","00:47"
545370,"24.78","87.24",0,"1057","0.00","6.37","00:48"
545374,"24.78","87.24",0,"1059","0.00","6.37","00:49"
545378,"24.81","87.47",0,"1057","0.00","6.37","00:50"
545382,"24.81","87.47",0,"1059","0.00","6.37","00:51"
545386,"24.82","87.50",0,"1058","0.00","6.37","00:52"
545390,"24.84","87.53",0,"1059","0.00","6.41","00:53"
545394,"24.85","87.50",0,"1058","0.00","6.41","00:54"
545398,"24.86","87.50",0,"1059","0.00","6.37","00:55"
545402,"24.84","87.42",0,"1059","0.00","6.37","00:56"
545406,"24.83","87.47",0,"1058","0.00","6.37","00:57"
545410,"24.83","87.41",0,"1059","0.00","6.37","00:58"
545414,"24.82","87.50",0,"1058","0.00","6.41","00:59"
545418,"24.81","87.66",0,"1057","0.00","6.41","01:00"
545422,"24.78","87.68",0,"1057","0.00","6.41","01:01"
545426,"24.74","87.89",0,"1058","0.00","6.37","01:02"
545430,"24.76","87.84",0,"1058","0.00","6.41","01:03"
545434,"24.73","87.97",0,"1058","0.00","6.41","01:04"
545438,"24.72","88.03",0,"1060","0.00","6.41","01:05"
545442,"24.72","88.00",0,"1064","0.00","6.41","01:06"
545446,"24.74","87.92",0,"1065","0.00","6.41","01:07"
545450,"24.74","87.84",0,"1062","0.00","6.41","01:08"
545454,"24.76","87.82",0,"1061","0.00","6.41","01:09"
545458,"24.77","87.79",0,"1063","0.00","6.37","01:10"
545462,"24.80","87.85",0,"1063","0.00","6.41","01:11"
545466,"24.82","87.91",0,"1063","0.00","6.41","01:12"
545470,"24.83","88.03",0,"1065","0.00","6.41","01:13"
545474,"24.84","88.08",0,"1067","0.00","6.41","01:14"
545478,"24.84","88.17",0,"1068","0.00","6.41","01:15"
545482,"24.83","88.08",0,"1069","0.00","6.41","01:16"
545486,"24.82","88.02",0,"1068","0.00","6.41","01:17"
545490,"24.80","88.02",0,"1067","0.00","6.41","01:18"
545494,"24.76","88.12",0,"1067","0.00","6.41","01:19"
545498,"24.74","88.17",0,"1068","0.00","6.41","01:20"
545502,"24.75","88.23",0,"1069","0.00","6.41","01:21"
545506,"24.74","88.23",0,"1070","0.00","6.41","01:22"
545510,"24.70","88.16",0,"1070","0.00","6.41","01:23"
545514,"24.70","88.27",0,"1070","0.00","6.41","01:24"
545518,"24.69","88.35",0,"1073","0.00","6.41","01:25"
545522,"24.69","88.33",0,"1076","0.00","6.41","01:26"
545526,"24.69","88.24",0,"1079","0.00","6.41","01:27"
