"id","value","update_time"
1768318,"12736","00:00:00"
1768320,"12736","00:00:10"
1768321,"12736","00:00:30"
1768323,"12736","00:00:40"
1768325,"12736","00:00:50"
1768327,"12737","00:01:00"
1768329,"12736","00:01:10"
1768331,"12736","00:01:20"
1768333,"12736","00:01:30"
1768335,"12736","00:01:40"
1768337,"12736","00:01:50"
1768338,"12736","00:02:00"
1768339,"12736","00:02:10"
1768341,"12736","00:02:20"
1768343,"12737","00:02:30"
1768344,"12738","00:02:40"
1768346,"12736","00:02:50"
1768348,"12736","00:03:00"
1768350,"12736","00:03:10"
1768351,"12737","00:03:20"
1768353,"12737","00:03:30"
1768356,"12737","00:03:40"
1768357,"12737","00:03:50"
1768359,"12737","00:04:00"
1768362,"12737","00:04:10"
1768363,"12736","00:04:20"
1768365,"12737","00:04:30"
1768368,"12736","00:04:40"
1768370,"12736","00:04:50"
1768372,"12736","00:05:00"
1768373,"12736","00:05:10"
1768375,"12736","00:05:20"
1768377,"12735","00:05:30"
1768379,"12736","00:05:40"
1768382,"12736","00:05:50"
1768383,"12735","00:06:00"
1768385,"12735","00:06:10"
1768387,"12737","00:06:20"
1768389,"12736","00:06:30"
1768391,"12736","00:06:40"
1768393,"12736","00:06:50"
1768396,"12736","00:07:00"
1768397,"12736","00:07:10"
1768399,"12736","00:07:20"
1768401,"12736","00:07:30"
1768403,"12735","00:07:40"
1768405,"12735","00:07:50"
1768407,"12737","00:08:00"
1768409,"12736","00:08:10"
1768411,"12735","00:08:20"
1768413,"12736","00:08:30"
1768415,"12736","00:08:40"
1768417,"12735","00:08:50"
1768419,"12736","00:09:00"
1768421,"12736","00:09:10"
1768423,"12736","00:09:20"
1768425,"12736","00:09:30"
1768427,"12736","00:09:40"
1768429,"12736","00:09:50"
1768431,"12736","00:10:00"
1768433,"12736","00:10:10"
1768435,"12736","00:10:20"
1768437,"12735","00:10:30"
1768439,"12735","00:10:40"
1768441,"12735","00:10:50"
1768443,"12733","00:11:00"
1768445,"12734","00:11:10"
1768448,"12735","00:11:20"
1768450,"12734","00:11:30"
1768451,"12735","00:11:40"
1768454,"12734","00:11:50"
1768456,"12735","00:12:00"
1768459,"12734","00:12:10"
1768461,"12734","00:12:20"
1768462,"12735","00:12:30"
1768464,"12735","00:12:40"
1768466,"12734","00:12:50"
1768468,"12735","00:13:00"
1768469,"12735","00:13:10"
1768471,"12735","00:13:20"
1768474,"12736","00:13:30"
1768475,"12734","00:13:40"
1768477,"12736","00:13:50"
1768479,"12735","00:14:00"
1768481,"12736","00:14:10"
1768483,"12736","00:14:20"
1768485,"12736","00:14:30"
1768487,"12736","00:14:40"
1768489,"12735","00:14:50"
1768491,"12736","00:15:00"
1768493,"12736","00:15:10"
1768495,"12735","00:15:20"
1768497,"12735","00:15:30"
1768499,"12735","00:15:40"
1768501,"12735","00:15:50"
1768503,"12734","00:16:00"
1768505,"12734","00:16:10"
1768507,"12735","00:16:20"
1768509,"12734","00:16:30"
1768511,"12734","00:16:40"
1768513,"12734","00:16:50"
1768515,"12734","00:17:00"
1768517,"12734","00:17:10"
1768519,"12733","00:17:20"
1768521,"12734","00:17:30"
1768523,"12735","00:17:40"
1768525,"12734","00:17:50"
1768527,"12733","00:18:00"
1768529,"12734","00:18:10"
1768531,"12734","00:18:20"
1768532,"12734","00:18:30"
1768534,"12734","00:18:40"
1768537,"12734","00:18:50"
1768539,"12734","00:19:00"
1768541,"12735","00:19:10"
1768543,"12734","00:19:20"
1768545,"12734","00:19:30"
1768547,"12734","00:19:40"
1768549,"12734","00:19:50"
1768550,"12733","00:20:00"
1768553,"12733","00:20:10"
1768554,"12733","00:20:20"
1768557,"12734","00:20:30"
1768559,"12732","00:20:40"
1768560,"12733","00:20:50"
1768563,"12734","00:21:00"
1768565,"12734","00:21:10"
1768567,"12734","00:21:20"
1768569,"12734","00:21:30"
1768571,"12734","00:21:40"
1768573,"12733","00:21:50"
1768575,"12734","00:22:00"
1768576,"12734","00:22:10"
1768578,"12734","00:22:20"
1768582,"12734","00:22:30"
1768584,"12734","00:22:40"
1768585,"12733","00:22:50"
1768587,"12733","00:23:00"
1768589,"12733","00:23:10"
1768590,"12733","00:23:20"
1768593,"12734","00:23:30"
1768595,"12733","00:23:40"
1768598,"12734","00:23:50"
1768599,"12733","00:24:00"
1768600,"12733","00:24:10"
